City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Isla Mujeres,MX,75.25,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
269,Tame,CO,77.59,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
272,Porto Belo,BR,77.16,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
277,Vila Velha,BR,75.15,thunderstorm with rain,-20.3297,-40.2925,Quality Suites Vila Velha
280,Mareeba,AU,88.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
281,Dubbo,AU,77.13,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
282,Vao,NC,78.39,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
283,Sola,VU,80.17,light rain,-13.8833,167.55,Leumerus Bungalows
284,Kavieng,PG,81.79,light rain,-2.5744,150.7967,Nusa Island Retreat
295,Nargana,PA,79.0,overcast clouds,9.4428,-78.5906,Dubbir
299,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
306,Lodwar,KE,83.41,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
307,Berbera,SO,75.85,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
317,Pozo Colorado,PY,87.24,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
323,Conselheiro Pena,BR,75.87,light rain,-19.1722,-41.4722,Hotel Bela Adormecida
331,Alofi,NU,76.89,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
332,Mahibadhoo,MV,82.27,clear sky,3.7833,72.9667,Omadhoo Inn
336,Road Town,VG,77.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
350,Kanniyakumari,IN,75.94,clear sky,8.0833,77.5667,Sparsa
360,Arraial Do Cabo,BR,75.16,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
362,Labuhan,ID,82.87,scattered clouds,-6.8844,112.2051,DoubleFAG
371,Salinopolis,BR,79.16,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
372,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
374,Cururupu,BR,75.99,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
375,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
377,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
381,Ca Mau,VN,84.47,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
390,Morant Bay,JM,78.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
391,Rawson,AR,76.68,clear sky,-43.3002,-65.1023,Hosteria Sampedro
400,Grand Gaube,MU,79.38,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
401,Manutuke,NZ,82.98,overcast clouds,-38.6833,177.9167,Jolly Stockman Hotel
413,Carutapera,BR,77.04,broken clouds,-1.195,-46.02,Lidera
414,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
416,Lethem,GY,80.28,broken clouds,3.3803,-59.7968,Savannah Inn
420,Trairi,BR,78.64,light rain,-3.2778,-39.2689,janelas do mar
422,Karratha,AU,87.35,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
424,Moerai,PF,80.1,few clouds,-22.4333,-151.3333,Le Manotel
433,Maumere,ID,83.68,clear sky,-8.6199,122.2111,Sylvia Hotel
435,Udankudi,IN,75.38,few clouds,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
438,Manokwari,ID,81.91,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
440,Linhares,BR,75.34,overcast clouds,-19.3911,-40.0722,Hotel Conceição
443,Okato,NZ,76.91,overcast clouds,-39.2,173.8833,Goodin Country Garden
448,Port Macquarie,AU,81.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
450,Concordia,AR,80.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
456,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
458,Temerloh,MY,81.25,broken clouds,3.4483,102.4176,U Design Hotel Temerloh
467,Calabozo,VE,82.83,few clouds,8.9242,-67.4293,Hotel Giardini
468,Nakhon Thai,TH,81.39,few clouds,17.1006,100.8374,Phet resort
473,Takoradi,GH,78.48,overcast clouds,4.8845,-1.7554,Raybow International Hotel
478,Saint-Paul,RE,80.69,light rain,-21.0096,55.2707,Boucan Canot
480,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
510,Tual,ID,80.53,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
512,Sinnamary,GF,77.05,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
513,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
519,Sabang,ID,80.96,few clouds,5.8933,95.3214,Hotel Citra
522,Sorong,ID,82.06,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
526,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
533,Cozumel,MX,75.18,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
534,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
535,Maragogi,BR,78.42,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
538,Kudahuvadhoo,MV,82.71,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
540,Pontal,BR,75.47,overcast clouds,-21.0225,-48.0372,Hotel Conforto
560,Grand-Lahou,CI,78.06,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
573,Ngunguru,NZ,77.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
590,Ugoofaaru,MV,82.31,scattered clouds,5.6667,73.0,Ungoofaaru Inn
594,Pochutla,MX,78.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
598,Jambi,ID,77.68,heavy intensity rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
608,Kupang,ID,82.92,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
610,Samarai,PG,82.51,light rain,-10.6167,150.6667,Nuli Sapi
616,Puerto Ayacucho,VE,83.25,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
617,Soyo,AO,77.4,broken clouds,-6.1349,12.3689,Hotel Mpampa
621,Naifaru,MV,82.36,clear sky,5.4444,73.3657,Naifaru Residence Guest House
627,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
634,La Asuncion,VE,76.14,clear sky,11.0333,-63.8628,Colinas de Matasiete
641,Maningrida,AU,86.47,light rain,-12.0667,134.2667,Dhukurrdji Lodge
648,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
654,Bonthe,SL,76.73,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
663,Neuquen,AR,89.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
664,Martapura,ID,78.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
672,Kilindoni,TZ,79.36,moderate rain,-7.9139,39.6668,Bustani B&B
677,Tartagal,AR,76.42,scattered clouds,-22.5164,-63.8013,Almuñecar Hotel
